dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
xes3g5m,0,42,dgekt,valid+test,0.7043693876891363,0.7941227559235298,0.4758682661822684,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,gkt,valid+test,0.6077513538952165,0.793852322606145,0.497180476300136,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,gikt,valid+test,0.7100720612773805,0.7941279565642487,0.4738047555190825,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,skt,valid+test,0.6601092904956126,0.7938502423498575,0.4885655160582985,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,dygkt,valid+test,0.6458871636741363,0.7936682199246947,0.4940511404978241,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,dgekt,valid+test,0.7046878509867383,0.7941227559235298,0.4759211668698674,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,bkt,valid+test,0.6176589732531487,0.7953520154804542,0.4920207151141761,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,dkt,valid+test,0.709351794571918,0.7947503329535331,0.4798724250336424,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,simplekt,valid+test,0.7183791611893594,0.796857001852891,0.4652349175112536,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,akt,valid+test,0.7071634882961737,0.7952927312902476,0.47987863129275,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,gkt,valid+test,0.6078943611801348,0.7948454996799174,0.4958524826069266,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,gikt,valid+test,0.7098622917567726,0.7952313669530162,0.4724683897550514,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,skt,valid+test,0.659825901804871,0.7948460197166736,0.4872152994187503,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,dygkt,valid+test,0.645826240726058,0.7946712873665911,0.4926813820008269,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,dgekt,valid+test,0.7044013443923681,0.7952225263281609,0.474577036301601,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,1,43,gkt,valid+test,0.6078005804665786,0.7948454996799174,0.4958863362518064,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,gikt,valid+test,0.7101541942053637,0.7952313669530162,0.472502226954573,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,skt,valid+test,0.6603133048289128,0.7948465397534298,0.4872559201249152,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,dygkt,valid+test,0.6461205657342841,0.7946728474768596,0.4927212914945632,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,1,43,dgekt,valid+test,0.7047763068367124,0.7952298068427477,0.4746154750245314,1922941,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,bkt,valid+test,0.6174633730257527,0.7949488421457188,0.4925579610305867,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,dkt,valid+test,0.709495277992232,0.7943572472715551,0.4803072904187696,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,simplekt,valid+test,0.7185070509727098,0.7963559630524004,0.4656305323957028,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,akt,valid+test,0.7070697167308372,0.7949123882362192,0.4803094997536034,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,gkt,valid+test,0.6076638898564457,0.7944707751611393,0.4964014504651949,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,gikt,valid+test,0.7100606041248416,0.7948472919692559,0.4728910338691989,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,skt,valid+test,0.659868473506923,0.7944765036326321,0.4877188455988003,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,dygkt,valid+test,0.6457082445257878,0.7942812148317417,0.4931944198406907,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,dgekt,valid+test,0.7046128693474879,0.7948514581303415,0.4750127931364444,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,2,44,gkt,valid+test,0.6077408445375176,0.7944707751611393,0.4963809141793555,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,gikt,valid+test,0.7104598465076346,0.7948472919692559,0.4728828290352091,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,skt,valid+test,0.660588309572959,0.7944765036326321,0.4876969450091443,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,dygkt,valid+test,0.6462659353585472,0.7942812148317417,0.4931944115715591,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,2,44,dgekt,valid+test,0.7051325047930895,0.7948514581303415,0.4749998835223782,1920233,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c2,0,42,dkt,valid+test,0.8573495508906998,0.7882142857142858,0.4337682805039445,60000,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,simplekt,valid+test,0.8708353487573517,0.8029591836734694,0.4162311857595289,60000,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,akt,valid+test,0.8701622110467279,0.8019897959183674,0.4169861198256985,60000,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,gkt,valid+test,0.8684620065650234,0.7990561224489796,0.4198436595637716,60000,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,gikt,valid+test,0.978643456209032,0.9854591836734694,0.1415258507733228,60000,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,skt,valid+test,0.8531072887304989,0.7883928571428571,0.4402340808798201,60000,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,dygkt,valid+test,0.8672466098482277,0.8005102040816326,0.4209149741642125,60000,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,dgekt,valid+test,0.8591057166263774,0.7939285714285714,0.431515688677512,60000,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,0,42,bkt,valid+test,0.8352018275208968,0.7809333333333334,0.4617502234259205,60000,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,train_only
synthetic_c2,0,42,gkt,valid+test,0.8683935679647501,0.7992857142857143,0.4204850698521426,60000,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,0,42,gikt,valid+test,0.978643456209032,0.9854591836734694,0.143102560540926,60000,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,0,42,skt,valid+test,0.8535900001351812,0.7902040816326531,0.4389066622373725,60000,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,0,42,dygkt,valid+test,0.8665339600467958,0.7997704081632653,0.4216452937994456,60000,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,0,42,dgekt,valid+test,0.8622991315147259,0.7961734693877551,0.4273253725743923,60000,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,1,43,dkt,valid+test,0.8684960845703733,0.804719387755102,0.4126212875654875,60000,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,1,43,simplekt,valid+test,0.8795449413456858,0.81375,0.3994896487200203,60000,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,1,43,akt,valid+test,0.876182044060229,0.8123469387755102,0.4015912635660721,60000,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,1,43,gkt,valid+test,0.878316232413545,0.8140816326530612,0.3999025692064359,60000,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,1,43,gikt,valid+test,0.9785215281932236,0.9850510204081632,0.1529771893675088,60000,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
synthetic_c2,1,43,skt,valid+test,0.634149835650416,0.6855166666666667,0.6132021027145713,60000,trained_leakage_head,Logistic regression on diagnostic channels fit on train fold only; graph signal differs by construction (train-only vs full-log pooling).,train_only
synthetic_c2,1,43,dygkt,valid+test,0.6312429968910265,0.6855166666666667,0.6171473477106126,60000,trained_leakage_head,Logistic regression on diagnostic channels fit on train fold only; graph signal differs by construction (train-only vs full-log pooling).,train_only
synthetic_c2,1,43,dgekt,valid+test,0.634149835650416,0.6855166666666667,0.6132021027145713,60000,trained_leakage_head,Logistic regression on diagnostic channels fit on train fold only; graph signal differs by construction (train-only vs full-log pooling).,train_only
synthetic_c2,1,43,bkt,valid+test,0.8382535062560343,0.78355,0.4576015101883034,60000,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,train_only
synthetic_c2,1,43,gkt,valid+test,0.8772240874212888,0.8111224489795918,0.4005650358561133,60000,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,1,43,gikt,valid+test,0.9785215281932236,0.9850510204081632,0.1497983656161103,60000,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
synthetic_c2,1,43,skt,valid+test,0.6343910414198122,0.6855166666666667,0.6131096417596809,60000,trained_leakage_head,Logistic regression on diagnostic channels fit on train fold only; graph signal differs by construction (train-only vs full-log pooling).,full_log
synthetic_c2,1,43,dygkt,valid+test,0.6318815737035944,0.6855166666666667,0.6165497366738988,60000,trained_leakage_head,Logistic regression on diagnostic channels fit on train fold only; graph signal differs by construction (train-only vs full-log pooling).,full_log
synthetic_c2,1,43,dgekt,valid+test,0.6343910414198122,0.6855166666666667,0.6131096417596809,60000,trained_leakage_head,Logistic regression on diagnostic channels fit on train fold only; graph signal differs by construction (train-only vs full-log pooling).,full_log
