model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.807511467877346,0.7381887755102041,0.5134925708933592,60000.0,1.0,0.807511467877346,0.807511467877346,0.7381887755102041,0.7381887755102041,0.5134925708933592,0.5134925708933592,full_log
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8075759550037463,0.736938775510204,0.5134768142925955,60000.0,1.0,0.8075759550037463,0.8075759550037463,0.736938775510204,0.736938775510204,0.5134768142925955,0.5134768142925955,train_only
akt,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8745208908639712,0.8577273473065382,0.3245342043668622,3845781.0,2.0,0.8740823569517637,0.8749594247761788,0.8572900473590976,0.8581646472539788,0.32349987903682054,0.32556852969690386,train_only
bkt,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,xes3g5m,valid+test,0.6343723683405742,0.7930415427180628,0.49193582995546975,1922840.0,1.0,0.6343723683405742,0.6343723683405742,0.7930415427180628,0.7930415427180628,0.49193582995546975,0.49193582995546975,train_only
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8407663799977609,0.8433520674762857,0.35891643607168006,1922840.0,1.0,0.8407663799977609,0.8407663799977609,0.8433520674762857,0.8433520674762857,0.35891643607168006,0.35891643607168006,full_log
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8409904983626277,0.8440000222473741,0.35837914535288934,1922840.0,1.0,0.8409904983626277,0.8409904983626277,0.8440000222473741,0.8440000222473741,0.35837914535288934,0.35837914535288934,train_only
dkt,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8576243449819292,0.8511907906994852,0.34180820626974406,3845781.0,2.0,0.8574876067596355,0.8577610832042228,0.8508091091873312,0.8515724722116392,0.3412272921611344,0.3423891203783538,train_only
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.7512553877304841,0.8121431729761147,0.4321005614176857,1922840.0,1.0,0.7512553877304841,0.7512553877304841,0.8121431729761147,0.8121431729761147,0.4321005614176857,0.4321005614176857,full_log
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.7518100021282667,0.8125881204584071,0.4314876718511853,1922840.0,1.0,0.7518100021282667,0.7518100021282667,0.8125881204584071,0.8125881204584071,0.4314876718511853,0.4314876718511853,train_only
gikt,invalid_alignment_leakage,"pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs. INVALIDATED: native GIKT predictions were previously aligned one step late, leaking the current response; rerun after src/models/gikt.py fix.",xes3g5m,valid+test,,,,1922840.0,1.0,,,,,,,full_log
gikt,invalid_alignment_leakage,"pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs. INVALIDATED: native GIKT predictions were previously aligned one step late, leaking the current response; rerun after src/models/gikt.py fix.",xes3g5m,valid+test,,,,1922840.0,1.0,,,,,,,train_only
gkt,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8345741013357009,0.8414137650065491,0.3631704273964576,1922840.0,1.0,0.8345741013357009,0.8345741013357009,0.8414137650065491,0.8414137650065491,0.3631704273964576,0.3631704273964576,full_log
gkt,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8341546756745687,0.8419595209027984,0.3636839030432676,3845781.0,2.0,0.8337523448899595,0.8345570064591779,0.8418573220279594,0.8420617197776374,0.362733617878941,0.3646341882075942,train_only
simplekt,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.8745617520610457,0.8578636124729904,0.3238004100517048,3845781.0,2.0,0.8744411161851224,0.874682387936969,0.8571218015923558,0.8586054233536248,0.3227357055914177,0.32486511451199196,train_only
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.6231069851994533,0.7990867452925947,0.4831985629351103,1922840.0,1.0,0.6231069851994533,0.6231069851994533,0.7990867452925947,0.7990867452925947,0.4831985629351103,0.4831985629351103,full_log
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,xes3g5m,valid+test,0.6231857132428551,0.7991965917022856,0.4834545640596796,1922840.0,1.0,0.6231857132428551,0.6231857132428551,0.7991965917022856,0.7991965917022856,0.4834545640596796,0.4834545640596796,train_only
