dataset,augmentation,p,seed,ddr,fold
synthetic_c5,attr_mask,0.05,42,0.0,1.0
synthetic_c5,attr_mask,0.05,1234,0.0,1.0
synthetic_c5,attr_mask,0.1,17,0.0,1.0
synthetic_c5,attr_mask,0.1,42,0.0,1.0
synthetic_c5,attr_mask,0.1,1234,0.0,1.0
synthetic_c5,attr_mask,0.2,17,0.0,1.0
synthetic_c5,attr_mask,0.2,42,0.0,1.0
synthetic_c5,attr_mask,0.2,1234,0.0,1.0
synthetic_c5,attr_mask,0.3,17,0.0,1.0
synthetic_c5,attr_mask,0.3,42,0.0,1.0
synthetic_c5,attr_mask,0.3,1234,0.0,1.0
synthetic_c5,edge_drop,0.05,17,0.0,1.0
synthetic_c5,edge_drop,0.05,42,0.0,1.0
synthetic_c5,edge_drop,0.05,1234,0.0,1.0
synthetic_c5,edge_drop,0.1,17,0.0,1.0
synthetic_c5,edge_drop,0.1,42,0.0,1.0
